run_id,semantic_config_hash,student_id,base_seed,map_checksum,rows,cols,max_steps,intended_probability,perpendicular_slip_probability,reward_step,reward_collision,reward_penalty,reward_key,reward_goal,shaping_method,shaping_version,shaping_scale,reward_mode,gamma,alpha,episodes,schedule,epsilon_start,epsilon_end,decay_episodes,audit_episode,root_seed,behavior_seed,transition_seed,seed_derivation,behavior_policy,q_initialization,action_order_json,episode,step,epsilon,exploring,source_key,source_row,source_col,intended_action,intended_action_index,actual_action,actual_action_index,transition_probability,next_key,next_row,next_col,events,base_reward,shaping_reward,total_reward,learning_reward,old_q,next_max_q,bootstrap_value,gamma,target,td_error,alpha,new_q,terminated,truncated
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,1,0.5322295069415712,1,0,1,1,UP,0,UP,0,0.8,0,1,1,wall_collision,-1.0,0.03947368421052633,-0.9605263157894737,-0.9605263157894737,-0.37003330843750004,-0.15535505032894734,-0.14758729781249996,0.95,-1.1081136136019736,-0.7380803051644735,0.1,-0.4438413389539474,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,2,0.5322295069415712,1,0,1,1,LEFT,3,LEFT,3,0.8,0,1,1,wall_collision,-1.0,0.03947368421052633,-0.9605263157894737,-0.9605263157894737,-0.35505375000000006,-0.15535505032894734,-0.14758729781249996,0.95,-1.1081136136019736,-0.7530598636019735,0.1,-0.4303597363601974,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,3,0.5322295069415712,0,0,1,1,DOWN,2,RIGHT,1,0.1,0,1,2,move|penalty_entered,-2.0,0.06447368421052635,-1.9355263157894735,-1.9355263157894735,-0.15535505032894734,0.0,0.0,0.95,-1.9355263157894735,-1.7801712654605262,0.1,-0.333372176875,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,4,0.5322295069415712,0,0,1,2,UP,0,UP,0,0.8,0,1,2,wall_collision,-1.0,0.03815789473684217,-0.9618421052631578,-0.9618421052631578,0.0,0.0,0.0,0.95,-0.9618421052631578,-0.9618421052631578,0.1,-0.09618421052631579,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,5,0.5322295069415712,1,0,1,2,LEFT,3,LEFT,3,0.8,0,1,1,move,-0.1,0.013157894736842146,-0.08684210526315786,-0.08684210526315786,-0.017809210526315785,-0.333372176875,-0.31670356803125,0.95,-0.4035456732944078,-0.38573646276809204,0.1,-0.05638285680312499,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,6,0.5322295069415712,1,0,1,1,DOWN,2,DOWN,2,0.8,0,2,1,move,-0.1,0.06447368421052635,-0.035526315789473656,-0.035526315789473656,-0.333372176875,-0.027395246749999984,-0.026025484412499984,0.95,-0.061551800201973636,0.27182037667302633,0.1,-0.30619013920769733,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,7,0.5322295069415712,1,0,2,1,RIGHT,1,RIGHT,1,0.8,0,12,6,move|teleported,-0.1,0.06315789473684219,-0.036842105263157815,-0.036842105263157815,-0.03391643749999998,-0.013122499999999994,-0.012466374999999993,0.95,-0.04930848026315781,-0.01539204276315783,0.1,-0.035455641776315765,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,8,0.5322295069415712,0,0,12,6,DOWN,2,DOWN,2,0.8,0,13,6,move,-0.1,0.06184210526315792,-0.038157894736842085,-0.038157894736842085,-0.013122499999999994,-0.003947368421052636,-0.003750000000000004,0.95,-0.04190789473684209,-0.028785394736842093,0.1,-0.016001039473684205,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,9,0.5322295069415712,1,0,13,6,DOWN,2,DOWN,2,0.8,0,14,6,move,-0.1,0.010526315789473717,-0.08947368421052629,-0.08947368421052629,-0.00894736842105263,0.0,0.0,0.95,-0.08947368421052629,-0.08052631578947365,0.1,-0.016999999999999994,0,0
q-learning-2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,2aa8e95f21272d798472b8028a1d4149f747ce7db90e38124496965dc2e0fc05,40403294,9,48e0cfae201409ecb45a928e016475129cf595191c669bffb13c554389f4bfe1,16,16,471,0.8,0.1,-0.1,-0.9,-1.9,5.0,20.0,normalized_completion_distance,1,1.0,shaped,0.95,0.1,25,exponential,1.0,0.05,20,5,9,5941392204501240012,9624548280144602028,numpy.SeedSequence(root).spawn(2); uint64 child state,epsilon_greedy_uniform_exploration_uniform_exact_max_ties,valid_zero_walls_nan_terminal_zero,"[""UP"",""RIGHT"",""DOWN"",""LEFT""]",5,10,0.5322295069415712,1,0,14,6,LEFT,3,DOWN,2,0.1,0,14,6,wall_collision,-1.0,0.0368421052631579,-0.9631578947368421,-0.9631578947368421,-0.0038157894736842086,0.0,0.0,0.95,-0.9631578947368421,-0.9593421052631579,0.1,-0.09974999999999999,0,0
